"iddirec_ciudad","nombre"
1,"CIUDAD DEL ESTE"
2,"HERNANDARIAS"
3,"PRESIDENTE FRANCO"
4,"SANTA RITA"
5,"MINGA GUAZU"
6,"CAAGUAZU"
7,"CHORE"
8,"MINGA PORA"
9,"NUEVA ESPERANZA"
10,"ASUNCION"
11,"SAN ALBERTO"
12,"SALTO DEL GUAIRA"
13,"KATUETE"
14,"CURUGUATY"
15,"SANTA TERESA"
16,"ITAKYRY"
17,"SANTA ROSA DEL MONDAY"
18,"SANTA FE"
19,"MBARACAYU"
20,"SAN CRISTOBAL"
21,"YGUAZU"
22,"TRONCAL 3"
23,"IRUÑA"
24,"CANINDEYU"
25,"NARANJAL"
26,"LOS CEDRALES"
27,"PUENTE KYJHA"
28,"TAVAPY I"
29,"DOMINGO MARTINEZ DE IRALA"
30,"FOZ DE YGUAZU"
31,"CORONEL OVIEDO"
32,"JUAN E O' LEARY"
33,"CAMPO 9"
34,"SAN PEDRO"
35,"JUAN LEON MALLORQUIN"
36,"SAN IGNACIO"
37,"ENCARNACIÓN"
38,"PIKYRY"
39,"ÑACUNDAY"
40,"SAN LORENZO"
41,"CONCEPCION"
42,"CORPUS CRISTI"
43,"VILLARICA"
44,"TOMAS ROMERO PEREIRA"
45,"BELLA VISTA"
46,"VILLA MAGAVI"
47,"VALENZUELA"
48,"LIBERACION"
49,"FERNANDO DE LA MORA"
50,"CAAZAPA"
51,"COLONIA CURUPAYTY"
52,"MARIA AUXILIADORA"
