m_product_id;name;sku
231;ALFA1-ANTITRIPSINA;1003416
232;CIM;1003403
233;LEISH MANIASIS IGM;1003402
234;LEISH MANIASIS IGG;1003401
235;TEST COVID-19 IGM;1003400
236;VITAMINA C;1003399
237;HORMONA ANTIMULLERIANA;1003397
238;PANEL BACTERIANO SNC X PCR;1003396
239;AG NEISSERIA MENINGITIDIS C;1003395
240;AG NEISSERIA MENINGITIDIS A;1003394
241;PARVOVIRUS B19 IGM;1003392
242;SARS - COV - 2 ANTIGENO;1003389
243;BUN;1003385
244;TEST COVID-19 IGG;1003380
245;CITOMEGALOVIRUS PCR;1003376
246;INTERLEUCINA-6;1003375
247;TEST HISOPADO PARA COVID-19 PCR;1003374
248;ENZIMA CONVERTIDORA DE ANGIOTENSINA ECA;1003372
249;VITAMINA B9;1003371
250;VITAMINA B1;1003370
251;MIOGLOBINA ORINA ESPONTANEA;1003366
252;IGE ESPECIFICO PARA HUEVO;1003355
253;IGE EPI PARA ASPIRINA;1003352
254;IGE EPI PARA DICLOFENAC;1003351
255;IGE EPI PARA IBUPROFENO;1003350
256;IGF-I;1003349
257;GSH;1003348
258;MANGANESO;1003346
259;LACTO ALBUMINA;1003343
260;CACEINA;1003342
261;OVOALBUMINA;1003341
262;REM: RECUENTO DE ESPERMATOZOIDES MOVILES;1003340
263;ANTI PDG TIPO II (IGG);1003339
264;ANTI PDG TIPO II (IGA);1003338
265;FACTOR VON WILLEBRAND;1003337
266;FACTOR VIII;1003336
267;PRUEBA DE LATEX DE LCR;1003334
268;HPV GEN PROS;1003333
269;HPV COBA;1003332
270;TINTA CHINA;1003331
271;TEST DE TZANCK;1003326
272;IGE ESPECIFICO PARA HORMIGA;1003325
273;IGE ESPECIFICO PARA ABISPA;1003324
274;IGE ESPECIFICO PARA ABEJA;1003323
275;IGE ESPECIFICO PARA MOSQUITO;1003322
276;PANEL DE INFECCIONES TROPICALES;1003321
277;ANTI CAPSIDE PARA VIRUS DE EPSTEIN BARR TIPO IGM;1003320
278;ANTI CAPSIDE PARA VIRUS DE EPSTEIN BARR TIPO IGG;1003319
279;PROTEINA S;1003318
280;METANEFRINA- ORINA 24HS;1003316
281;SARS-COV 2 IGM;1003314
282;SARS-COV 2 ANTICUERPOS IGG NEUTRALIZANTE ANTI RBD/SPIKE;1003313
283;SARS-COV 2 IGG;1003313
284;IGE ESPECIFICO, F44 / FRUTILLA, SANGRE;1003304
285;IGE ESPECIFICO PROTEINAS DE LECHE DE VACA X 4(CASEINA);1003303
286;IGE ESPECIFICO PROTEINAS LECHE DE VACA X 3;1003299
287;IGE ESPECIFICO F14 SOJA;1003298
288;IGE ESPECIFICO F4 TRIGO;1003297
289;IGE ESPECIFICO OP1 MEZCLA POLEN DE GRAMINEAS;1003296
290;IGE ESPECIFICO E2 EPITELIO DE GATO;1003295
291;IGE ESPECIFICO EPITELIO DE PERRO;1003294
292;INS - INSULINA;1003148
293;BORDETELLA PERTUSSIS;1003147
294;VIRUS SINCITIAL RESPIRATORIO;1003146
295;PARVOVIRUS B19 IGG;1003142
296;CALCIURIA;1003141
297;ATP HEMOGLOBINA FETAL;1003140
298;SARAMPION IGM;1003139
299;SARAMPION IGG;1003138
300;PANEL RESPIRATORIO (VIRUS Y BACTERIAS);1003114
301;CULTIVO PARA BAAR;1003084
302;HIGH SENSITIVE TROPONIN I (TNHS);1003080
303;HEMOSIDERINA;1003079
304;SHBG GLOBULINA TRANSPORTADORA DE HORMONAS SEXUALES, SUERO;1003076
305;EPSTEIN BAAR, ANTICUERPOS IGM ANTI VACA (EBV-VCA), SUERO;1003075
306;EPSTEIN BAAR, ANTICUERPOS IGG ANTI VACA (EBV-VCA), SUERO;1003074
307;ESTRIOL;1003073
308;T3 REVERSIBLE;1003071
309;VIRUS DEL PAPILOMA HUMANO;1003069
310;VITAMINA D3 (1,25);1003068
311;FOSFATASA ACIDA TOTAL;1003067
312;ZIKA IGG-IGM;1003065
313;ANTI TRAB - ANTI RECEPTOR TSH;1003064
314;MBG - ANTICUERPOS ANTI - MEMBRANA BASAL GLOMERULAR;1003063
315;PANEL CHIKUNGUNYA + DENGUE + ZIKA, DETECCION (PCR);1003062
316;CLOSTRIDIUM DIFFICILE;1003035
317;HLA DQ2-DQ8;1003029
